Geolocation,Commodity,Date,CPI
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-03-01,102.157071410267
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-04-01,102.259717920523
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-05-01,101.913771781461
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-06-01,101.290055049548
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-07-01,101.503045155827
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-08-01,99.085953090358
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-09-01,97.529133841898
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-10-01,96.4911403815044
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-11-01,96.0173978260265
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-12-01,96.0462103145795
cordillera administrative region (car),rice,2020-01-01,90.2649211324068
cordillera administrative region (car),rice,2020-02-01,89.7997916223991
cordillera administrative region (car),rice,2020-03-01,88.9030226765315
cordillera administrative region (car),rice,2020-04-01,90.163185600895
cordillera administrative region (car),rice,2020-05-01,89.3501085066948
cordillera administrative region (car),rice,2020-06-01,89.9999045919639
cordillera administrative region (car),rice,2020-07-01,90.4825446849186
cordillera administrative region (car),rice,2020-08-01,90.700476476744
cordillera administrative region (car),rice,2020-09-01,90.9793668201209
cordillera administrative region (car),rice,2020-10-01,90.5972846962719
cordillera administrative region (car),rice,2020-11-01,90.4406068207662
cordillera administrative region (car),rice,2020-12-01,90.1726436986138
cordillera administrative region (car),rice,2021-01-01,89.700627824661
cordillera administrative region (car),rice,2021-02-01,89.1834802755894
cordillera administrative region (car),rice,2021-03-01,90.2938979821694
cordillera administrative region (car),rice,2021-04-01,90.7541862037811
cordillera administrative region (car),rice,2021-05-01,91.3118752059764
cordillera administrative region (car),rice,2021-06-01,90.8895042432534
cordillera administrative region (car),rice,2021-07-01,91.4925989209627
cordillera administrative region (car),rice,2021-08-01,92.0061915797708
cordillera administrative region (car),rice,2021-09-01,92.2158670861719
cordillera administrative region (car),rice,2021-10-01,92.3137993368357
cordillera administrative region (car),rice,2021-11-01,92.2091380285308
cordillera administrative region (car),rice,2021-12-01,92.7023255716301
cordillera administrative region (car),rice,2022-01-01,93.061023338098
cordillera administrative region (car),rice,2022-02-01,93.5232961925415
cordillera administrative region (car),rice,2022-03-01,93.6941941177556
cordillera administrative region (car),rice,2022-04-01,94.1022427148776
cordillera administrative region (car),rice,2022-05-01,94.4600911840285
cordillera administrative region (car),rice,2022-06-01,94.5531959681275
cordillera administrative region (car),rice,2022-07-01,94.6658945370287
cordillera administrative region (car),rice,2022-08-01,94.8009066140062
cordillera administrative region (car),rice,2022-09-01,94.9232057686277
cordillera administrative region (car),rice,2022-10-01,95.2208496985161
cordillera administrative region (car),rice,2022-11-01,95.2074786629595
cordillera administrative region (car),rice,2022-12-01,95.2411443672976
cordillera administrative region (car),rice,2023-01-01,95.0714942260902
cordillera administrative region (car),rice,2023-02-01,95.6107536045446
cordillera administrative region (car),rice,2023-03-01,96.1179437041059
cordillera administrative region (car),rice,2023-04-01,96.498950237889
cordillera administrative region (car),rice,2023-05-01,96.4984533893506
cordillera administrative region (car),rice,2023-06-01,96.7225841252747
cordillera administrative region (car),rice,2023-07-01,97.1045476693991
cordillera administrative region (car),rice,2023-08-01,99.0202699198872
cordillera administrative region (car),rice,2023-09-01,107.869012004007
cordillera administrative region (car),rice,2023-10-01,107.432458997773
cordillera administrative region (car),rice,2023-11-01,108.658952876637
cordillera administrative region (car),rice,2023-12-01,111.148493451264
cordillera administrative region (car),rice,2024-01-01,113.72057493536
cordillera administrative region (car),rice,2024-02-01,117.403164906148
cordillera administrative region (car),rice,2024-03-01,119.390326372655
cordillera administrative region (car),rice,2024-04-01,119.053558950295
cordillera administrative region (car),rice,2024-05-01,119.188717911089
cordillera administrative region (car),rice,2024-06-01,118.42691925278
cordillera administrative region (car),rice,2024-07-01,117.978525139209
cordillera administrative region (car),rice,2024-08-01,117.800965520587
cordillera administrative region (car),rice,2024-09-01,118.663533254833
cordillera administrative region (car),rice,2024-10-01,119.246167345668
cordillera administrative region (car),rice,2024-11-01,118.670998084568
cordillera administrative region (car),rice,2024-12-01,118.743366212112
cordillera administrative region (car),corn,2020-01-01,112.316976636288
cordillera administrative region (car),corn,2020-02-01,114.796127645851
cordillera administrative region (car),corn,2020-03-01,115.579455694313
cordillera administrative region (car),corn,2020-04-01,117.675374795207
cordillera administrative region (car),corn,2020-05-01,116.547579067959
cordillera administrative region (car),corn,2020-06-01,123.733165964113
cordillera administrative region (car),corn,2020-07-01,124.675246325622
cordillera administrative region (car),corn,2020-08-01,122.413644978592
cordillera administrative region (car),corn,2020-09-01,122.450225787405
cordillera administrative region (car),corn,2020-10-01,122.208634899988
cordillera administrative region (car),corn,2020-11-01,127.427317334327
cordillera administrative region (car),corn,2020-12-01,134.077957867093
cordillera administrative region (car),corn,2021-01-01,135.79382571863
cordillera administrative region (car),corn,2021-02-01,135.478317587013
cordillera administrative region (car),corn,2021-03-01,135.389099829308
cordillera administrative region (car),corn,2021-04-01,137.909749806723
cordillera administrative region (car),corn,2021-05-01,139.472242213971
cordillera administrative region (car),corn,2021-06-01,138.902076107222
cordillera administrative region (car),corn,2021-07-01,140.928783154889
cordillera administrative region (car),corn,2021-08-01,142.625619963703
cordillera administrative region (car),corn,2021-09-01,143.745996039176
cordillera administrative region (car),corn,2021-10-01,145.786461808642
cordillera administrative region (car),corn,2021-11-01,146.045439066321
cordillera administrative region (car),corn,2021-12-01,147.311036593808
cordillera administrative region (car),corn,2022-01-01,148.213095791986
cordillera administrative region (car),corn,2022-02-01,149.08296896207
cordillera administrative region (car),corn,2022-03-01,149.936612114299
cordillera administrative region (car),corn,2022-04-01,150.849348874403
cordillera administrative region (car),corn,2022-05-01,152.137655804919
cordillera administrative region (car),corn,2022-06-01,153.679616363543
cordillera administrative region (car),corn,2022-07-01,156.132206509796
cordillera administrative region (car),corn,2022-08-01,157.439358180307
cordillera administrative region (car),corn,2022-09-01,158.26835664221
cordillera administrative region (car),corn,2022-10-01,162.196017533963
cordillera administrative region (car),corn,2022-11-01,169.532645965805
cordillera administrative region (car),corn,2022-12-01,167.996276172285
cordillera administrative region (car),corn,2023-01-01,167.352929345599
cordillera administrative region (car),corn,2023-02-01,168.932079307438
cordillera administrative region (car),corn,2023-03-01,169.1402608207
cordillera administrative region (car),corn,2023-04-01,169.053918591905
cordillera administrative region (car),corn,2023-05-01,170.720328330395
cordillera administrative region (car),corn,2023-06-01,171.118449562432
cordillera administrative region (car),corn,2023-07-01,168.101932985574
cordillera administrative region (car),corn,2023-08-01,170.952171939316
cordillera administrative region (car),corn,2023-09-01,170.613356230555
cordillera administrative region (car),corn,2023-10-01,172.306178589168
cordillera administrative region (car),corn,2023-11-01,174.235099854002
cordillera administrative region (car),corn,2023-12-01,177.086892295915
cordillera administrative region (car),corn,2024-01-01,177.184554247604
cordillera administrative region (car),corn,2024-02-01,184.834337615165
cordillera administrative region (car),corn,2024-03-01,186.327836079325
cordillera administrative region (car),corn,2024-04-01,186.469995793444
cordillera administrative region (car),corn,2024-05-01,186.767585502993
cordillera administrative region (car),corn,2024-06-01,185.749133289838
cordillera administrative region (car),corn,2024-07-01,185.976089356951
cordillera administrative region (car),corn,2024-08-01,184.459076072528
cordillera administrative region (car),corn,2024-09-01,181.779750063824
cordillera administrative region (car),corn,2024-10-01,181.050440523072
cordillera administrative region (car),corn,2024-11-01,183.214582736607
cordillera administrative region (car),corn,2024-12-01,184.186656701981
mimaropa region,rice,2020-01-01,88.2018340863851
mimaropa region,rice,2020-02-01,88.0058535320083
mimaropa region,rice,2020-03-01,86.8069963949042
mimaropa region,rice,2020-04-01,91.0552281088906
mimaropa region,rice,2020-05-01,94.4397393741508
mimaropa region,rice,2020-06-01,96.2904342935401
mimaropa region,rice,2020-07-01,96.5235542268097
mimaropa region,rice,2020-08-01,96.9243086826452
mimaropa region,rice,2020-09-01,97.3272602421079
mimaropa region,rice,2020-10-01,97.6640576468174
mimaropa region,rice,2020-11-01,97.2056506310213
mimaropa region,rice,2020-12-01,95.9103354048903
mimaropa region,rice,2021-01-01,93.0127219831262
mimaropa region,rice,2021-02-01,92.6918952650707
mimaropa region,rice,2021-03-01,93.1225186249348
mimaropa region,rice,2021-04-01,93.4303857526407
mimaropa region,rice,2021-05-01,93.2040885450036
mimaropa region,rice,2021-06-01,92.8300392555259
mimaropa region,rice,2021-07-01,92.334837792902
mimaropa region,rice,2021-08-01,92.334837792902
mimaropa region,rice,2021-09-01,92.334837792902
mimaropa region,rice,2021-10-01,92.4050185372535
mimaropa region,rice,2021-11-01,92.5177250270606
mimaropa region,rice,2021-12-01,92.5493220651348
mimaropa region,rice,2022-01-01,93.3628922300083
